communityId,papers_in_group,sample_titles
2065,20,"[International servitization: theoretical roots, research gaps and implications, Servitization and digitalization in manufacturing: the influence on firm performance, Servitization of the Manufacturing Firm: Exploring the operations practices and technologies that deliver advanced services, Digital servitization in manufacturing: a systematic literature review and research agenda, Strategic orientation of servitization in manufacturing firms and its impacts on firm performance]"
1776,18,"[Executive cognition and servitization of manufacturing firms: Empirical evidence from listed companies in China, Supply chain concentration, digitalization and servitization of manufacturing firms, The value architecture of servitization: Expanding the research scope, What drives product-service integration? An abductive study of decision-makers' motives and value strategies, Uncovering productivity gains of digital and green servitization: implications from the automotive industry]"
224,15,"[Transforming provider-customer relationships in digital servitization: A relational view on digitalization, Transformational shifts through digital servitization, Digital service innovation for smarter production: Servitized-AI progress towards smart products, Digital servitization bridging relational asymmetry, Exploring configurations of digital servitization capabilities for value creation: An fsQCA approach]"
2077,15,"[null, The servitization of manufacturing (Lightfoot et al., 2013), Servitization and Industry 4.0 convergence (Frank et al., 2019), The role of inter-firm dispersion of international marketing capabilities (Gnizy, 2019), Servitization: a contemporary thematic review (Raddats et al., 2019)]"
279,15,"[Digital servitization business models in ecosystems: A theory of the firm, The next phase in servitization: transforming integrated solutions into modular solutions, Mechanisms for developing operational capabilities in digital servitization, Reconciling and reconceptualising servitization research: drawing on modularity, platforms, ecosystems, risk and governance to develop mid-range theory, The relationship between digitalization and servitization: The role of servitization in capturing the financial potential of digitalization]"
2122,13,"[Servitization intent as a factor in the servitization process, Barriers to smart services for manufacturing companies - an exploratory study in the capital goods industry, null, null, null]"
2100,13,"[Organizing for digital servitization: A service ecosystem perspective, Managing servitization in product companies: the moderating role of service suppliers, Digital servitization in manufacturing: A systematic literature review and research agenda, Boosting Servitization through Digitization, The impact of servitization and digitization on productivity and profitability of the firm: a systematic approach]"
1846,12,"[A digital servitization framework for viable manufacturing companies, Relational governance strategies for advanced service provision: Multiple paths to superior financial performance in servitization, Different roads to servitization success - A configurational analysis of financial and non-financial service performance, Financial and non-financial factors for the success of hybrid offerings: evidence from multinational enterprises in an emerging market, Interplay of provider and customer factors for servitization success: a transaction cost theory approach]"
2141,11,"[null, Under which conditions do manufacturing companies choose FDI for service provision in foreign markets? An investigation using fsQCA, null, null, null]"
2154,11,"[null, null, null, null, null]"
308,3,"[Top management service commitment and new product development in manufacturing firms: the moderating role of dysfunctional competition, Servitization and performance: impacts on small and medium enterprises, Lessons learned from a successful industrial product service system business model: emphasis on financial aspects]"
1950,3,"[null, null, null]"
318,2,"[Configurations for emerging market firms to achieve a high-level servitization strategy: evidence from Chinese manufacturing firms, Value-capture in digital servitization]"
2132,2,"[Industrial customers' organizational readiness for new advanced services, null]"
2147,2,"[Service providers and firm performance: investigating the non-linear effect of dependence, null]"
