technique,papers
Semi-structured Interviews,10
Case Illustration from Literature,9
Network Analysis (UCINET/NetDraw),9
Secondary Data Triangulation,9
Single Case Study,9
Open Coding,9
Action Design Research (ADR),9
Exploratory Workshops,9
Conceptual Literature Review,9
Systematic Literature Review (SPAR-4-SLR),9
Framework Development,9
Backward Snowballing,9
Systematic Literature Review (SLR),9
Thematic Analysis (Hybrid Inductive-Deductive),9
Multi-case Study,9
In-depth Interviews,9
Thematic Analysis,9
Abductive Analysis,9
Member Checking,9
Conceptual Framework Development,9
OLS Regression,5
"Conditional Process Analysis (PROCESS Macro, Model 7, Hayes 2013)",5
Confirmatory Factor Analysis,5
IV/2SLS Endogeneity Test,5
"Bootstrapping (5000 samples, 95% CI)",5
